name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
417,199,248_220kV,11.5,3,50,3028644,1.3,2.349,2349,1,RWE,Lünen 7,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.44506930371379 51.6185000869374,7.46150025901999 51.6146143079042)",0.32
418,5_220kV,295,5.75,3,50,3098194,0.65,10.721,10721,0.5,TenneT,Leitung 2025,0.16,2,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.5054991208047 52.3018379056382)",0.64
419,1,2_220kV,11.5,3,50,3109536,1.3,43.375,43375,1,TenneT,Leitung 2016,0.08,2016,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)",0.32
420,4,296,13.7,3,50,3109537,2.6,1.387,1387,1,TenneT,,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11362795987411 52.5457924749284)",0.25
421,4,296,13.7,3,50,3109538,2.6,1.117,1117,1,TenneT,Leitung 3004,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.11362795987411 52.5457924749284)",0.25
422,2_220kV,201_220kV,11.5,3,50,3109602,1.3,76.503,76503,1,TenneT,Leitung 2010/2023,0.08,2,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.11321007472722 52.5438533223737,9.25103425143703 53.1144323051271)",0.32
423,3,4,13.7,3,50,3109630,2.6,72.681,72681,1,TenneT,Leitung 3011,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)",0.25
424,5_220kV,297,11.5,3,50,3113413,1.3,16.053,16053,1,TenneT,Leitung 2028/2029,0.08,3,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.3692300485918 52.1670924338554)",0.32
425,5_220kV,298,11.5,3,50,3113414,1.3,6.656,6656,1,TenneT,Leitung 2028,0.08,2,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.4195406346214 52.2369606619834)",0.32
426,297,299,11.5,3,50,3113438,1.3,30.7,30700,1,TenneT,Leitung 2027,0.08,1,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(10.3692300485918 52.1670924338554,10.0876467999739 52.3151305547947)",0.32
427,61_220kV,161,11.5,3,50,3114809,1.3,35.15,35150,1,TenneT,201 grün,0.08,201,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,8.05283751634017 53.3338809598955)",0.32
428,5_220kV,6,11.5,3,50,3115297,1.3,33.882,33882,1,TenneT,Leitung 2024,0.08,1,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)",0.32
429,117,123,13.7,3,50,3228400,2.6,33.941,33941,1,Amprion,Ville Ost,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,6.70220337779745 51.0088609096753)",0.25
430,133,117,6.85,3,50,3228401,1.3,12.907,12907,0.5,Amprion,Walberberg West,0.05,,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(6.8426506615144 50.8635385008881,6.97257742700703 50.795693017514)",0.5
431,71,74,10.275,3,50,3302864,1.95,169.144,169144,0.75,50Hertz,502,0.033333,502,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(12.2621734868101 51.7410202755519,13.9024346886892 51.8747235190459)",0.333333
432,74,280,0.0137,3,50,3306342,0.26,89.08,89080,1,50Hertz,561 Ragow-Streumen,0.025,561,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(13.9024346886892 51.8747235190459,13.3823233828996 51.3559961579888)",0.25
433,74,280,0.0137,3,50,3306343,0.26,89.092,89092,1,50Hertz,562 Ragow-Streumen,0.025,562,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(13.9024346886892 51.8747235190459,13.3823233828996 51.3559961579888)",0.25
434,94_220kV,265,11.5,3,50,3345100,1.3,21.136,21136,1,Amprion,Bohmte Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,8.10495957410199 52.2642613740358)",0.32
435,300,94_220kV,11.5,3,50,3345101,1.3,32.823,32823,1,Amprion,Diepholz Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.40314143640892 52.609644011383,8.30775689679575 52.3456356447783)",0.32
436,16,5,0.0274,3,50,3528700,0.52,36.248,36248,0.5,TenneT,Leitung 3023,0.05,1,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)",0.5
437,5,301,13.7,3,50,3533527,2.6,9.376,9376,1,TenneT,Leitung 3026,0.025,3026,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.2358631058452 52.2934595399896)",0.25
438,32,294,0.0137,6,50,3533700,0.26,55.908,55908,1,,380 kV Leitung Thüringer Wald,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.9910146333086 50.573526990181)",0.25
439,5,29,13.7,3,50,3534540,2.6,85.872,85872,1,TenneT,Leitung 3007,0.025,1,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.3821666628198 52.9932540372914)",0.25
440,5,29,13.7,3,50,3534541,2.6,85.877,85877,1,TenneT,Leitung 3007,0.025,2,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.3821666628198 52.9932540372914)",0.25
441,9,29,13.7,3,50,3534542,2.6,25.563,25563,1,TenneT,Leitung 3021,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)",0.25
442,37_220kV,292_220kV,23,6,50,3584453,2.6,45.8,45800,2,50Hertz,,0.04,344,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.6441811001256 51.908512873438)",0.16
443,302,303,27.4,6,50,3687783,5.2,56.513,56513,2,,,0.0125,,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.5142400914841 51.2590355805955,9.38765125748855 51.640733525594)",0.125
444,51,302,27.4,6,50,3687803,5.2,29.729,29729,2,,,0.0125,,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.25938382024592 51.0603668474477,9.5142400914841 51.2590355805955)",0.125
445,246,304,27.4,6,50,3688562,5.2,89.118,89118,2,,Dipperz - Großkrotzenburg,0.0125,,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(8.95870856177306 50.0826078105489,9.77415043834156 50.5287496465011)",0.125
446,31,304,27.4,6,50,3688563,5.2,50.472,50472,2,TenneT,,0.0125,3010,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,9.77415043834156 50.5287496465011)",0.125
447,51,284,27.4,6,50,3688564,5.2,72.644,72644,2,TenneT,,0.0125,3002,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.25938382024592 51.0603668474477,8.65659923594081 50.6055491256016)",0.125
448,305,306,0.0274,3,50,3693985,0.52,0.254,254,0.5,,Einspeisung Umrichter Neckarwestheim,0.05,,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.17745967557079 49.037809850476,9.17731110343941 49.039378200434)",0.5
449,307,306,10.275,3,50,3693986,1.95,16.813,16813,0.75,,,0.033333,,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.17731110343941 49.039378200434)",0.333333
450,307,261,0.0137,6,50,3693987,0.26,29.602,29602,1,,,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.0454349679866 48.9029620137561)",0.25
451,308,309,0.0274,3,50,3694014,0.52,93.088,93088,0.5,,Grafenrheinfeld - Höpfingen,0.05,,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(10.1878339995516 49.981219040845,9.44691867105201 49.5902629324336)",0.5
452,307,310,0.0274,3,50,3694015,0.52,7.01,7010,0.5,,,0.05,,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.20736443093694 49.1766379540065)",0.5
453,307,311,10.275,3,50,3694016,1.95,47.716,47716,0.75,,Kupferzell - Großgartach,0.033333,,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.69465635518013 49.2325925411591)",0.333333
454,312,311,13.7,3,50,3694017,2.6,55.253,55253,1,,,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.1174866946797 48.8971053361382,9.69465635518013 49.2325925411591)",0.25
455,308,311,0.0274,3,50,3694018,0.52,102.044,102044,0.5,,,0.05,348,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(10.1878339995516 49.981219040845,9.69465635518013 49.2325925411591)",0.5
456,307,261,0.0137,6,50,3697399,0.26,29.602,29602,1,,Großgartach-Pulverdingen,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.0454349679866 48.9029620137561)",0.25
457,313,282,0.0137,6,50,3707291,0.26,19.833,19833,1,50Hertz,587;588 Pulgar - Eula,0.025,587;588,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(12.3374229103144 51.1969683571228,12.5182220968156 51.1570725850832)",0.25
458,282,280,20.55,6,50,3707292,3.9,84.472,84472,1.5,50Hertz,585;586 Eula - Streumen,0.016667,585;586,2566.899297,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(12.5182220968156 51.1570725850832,13.3823233828996 51.3559961579888)",0.166667
459,313,32,10.275,3,50,3707293,1.95,104.459,104459,0.75,50Hertz Transmission,Pulgar - Vieselbach,0.033333,589,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(12.3374229103144 51.1969683571228,11.1228545605428 50.9989090670144)",0.333333
460,13,314,27.4,6,50,3710278,5.2,50.049,50049,2,,,0.0125,419;420,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,10.8675658805484 48.5394690937344)",0.125
461,315,316,13.7,3,50,3710279,2.6,35.191,35191,1,,,0.025,A12,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.8408695619217 48.2380310092335,10.9367289314287 48.4013064414835)",0.25
462,314,315,13.7,3,50,3710281,2.6,51.635,51635,1,,,0.025,L11,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.8675658805484 48.5394690937344,10.8408695619217 48.2380310092335)",0.25
463,247_220kV,317_220kV,23,3,50,3710282,2.6,81.783,81783,2,,Leupolz - Westtirol (220 kV),0.04,,990.7330619,Al/St 240/40 2-bundle 220.0,220000,4,"SRID=4326;LINESTRING(10.363384232266 47.7383368092793,10.8739357569814 47.2444239286028)",0.16
464,247,317,13.7,3,50,3710283,2.6,81.803,81803,1,,Leupolz - Westtirol (380 kV),0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.363384232266 47.7383368092793,10.8739357569814 47.2444239286028)",0.25
465,314,318,27.4,6,50,3710284,5.2,1.017,1017,2,,,0.0125,M12/1;M12/2,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.8675658805484 48.5394690937344,10.8637616199498 48.5468231051405)",0.125
466,314,316,13.7,3,50,3710286,2.6,30.843,30843,1,,,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.8675658805484 48.5394690937344,10.9367289314287 48.4013064414835)",0.25
467,264_220kV,236_220kV,11.5,3,50,3712136,1.3,123.643,123643,1,,,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.42551238607291 48.0643507981263,9.19675652645089 48.9129634380259)",0.32
468,264,216,6.85,3,50,3712137,1.3,123.15,123150,0.5,,,0.05,,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.42551238607291 48.0643507981263,9.1907874369222 48.914416873799)",0.5
469,319,233,0.018266667,3,50,3712217,0.346666667,24.464,24464,0.75,,Dellmensingen - Laichingen,0.033333333,,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(9.70423149899321 48.465063732143,9.88551509756969 48.3040743584705)",0.333333333
470,320,319,10.275,3,50,3717715,1.95,36.006,36006,0.75,,Laichingen - Wendlingen,0.033333,,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(9.40063139462492 48.6669424396984,9.70423149899321 48.465063732143)",0.333333
471,231,52,13.7,3,50,3717717,2.6,203.683,203683,1,,Daxlanden - Kühmoos,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(7.95805402328778 47.5954722640613,8.3133401659254 49.0090434643525)",0.25
472,321,322_220kV,23,3,50,3717719,2.6,18.421,18421,2,,Eichstetten (DE) - Vogelgrün (FR),0.04,,990.7330619,Al/St 240/40 2-bundle 220.0,220000,4,"SRID=4326;LINESTRING(7.5724373132812 48.0188749889275,7.75186249820802 48.0964057188536)",0.16
473,279_220kV,323,0.0115,3,50,3730414,1.3,30.268,30268,1,50Hertz,Röhrsdorf - Crossen,0.08,212,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,12.4772465232803 50.7531200813148)",0.32
474,279,65,10.275,3,50,3730415,1.95,81.695,81695,0.75,,,0.033333,445,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.3264049984725 50.3463721850552)",0.333333
475,324,290,10.275,3,50,3730416,1.95,56.706,56706,0.75,50Hertz,553 Schmölln - Hagenwerder,0.033333,553,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,14.2192282929357 51.120707992198)",0.333333
476,324,325,10.275,3,50,3730417,1.95,15.195,15195,0.75,,,0.033333,567,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,15.1149907448572 51.0905795559394)",0.333333
477,324,325,10.275,3,50,3730418,1.95,16.031,16031,0.75,,,0.033333,568,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,15.1149907448572 51.0905795559394)",0.333333
478,279,326,10.275,3,50,3730420,1.95,85.425,85425,0.75,50Hertz,,0.033333,591,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.8412680841242 50.9901759359427)",0.333333
479,326,327,10.275,3,50,3730421,1.95,47.804,47804,0.75,50Hertz,,0.033333,592,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(13.8412680841242 50.9901759359427,13.255555023675 50.9301782416399)",0.333333
480,279,327,10.275,3,50,3730422,1.95,37.54,37540,0.75,50Hertz,,0.033333,594,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.255555023675 50.9301782416399)",0.333333
481,328,329,0.0115,3,50,3732376,1.3,11.577,11577,1,,Simbach (DE) - St. Peter (AT),0.08,230,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.0818771201792 48.2565212405017,13.0027821071279 48.261968265807)",0.32
482,330,328,5.75,3,50,3732377,0.65,77.901,77901,0.5,,Altheim (DE) - St. Peter (AT),0.16,233,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(12.2208353620671 48.5857329876532,13.0818771201792 48.2565212405017)",0.64
483,330,329,5.75,3,50,3732378,0.65,74.318,74318,0.5,,,0.16,234,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(12.2208353620671 48.5857329876532,13.0027821071279 48.261968265807)",0.64
484,328,331,0.0115,3,50,3732379,1.3,42.444,42444,1,,St. Peter (AT) - Pirach (DE),0.08,256,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.0818771201792 48.2565212405017,12.7474442277007 48.1487558434787)",0.32
485,332_220kV,331,0.0115,3,50,3732380,1.3,86.211,86211,1,,,0.08,257,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,12.7474442277007 48.1487558434787)",0.32
486,332_220kV,328,0.0115,3,50,3732381,1.3,48.682,48682,1,,Pleinting (DE) - St. Peter (AT),0.08,258,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,13.0818771201792 48.2565212405017)",0.32
488,334,78,10.275,3,50,3732383,1.95,56.075,56075,0.75,,,0.033333,413,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,11.6463786274424 50.534876971042)",0.333333
489,335,308,13.7,3,50,3732385,2.6,49.559,49559,1,,,0.025,423,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.8360157547717 49.9280673897058,10.1878339995516 49.981219040845)",0.25
490,334,335,13.7,3,50,3732387,2.6,43.347,43347,1,,,0.025,435,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,10.8360157547717 49.9280673897058)",0.25
491,334,336,6.85,3,50,3732388,1.3,49.456,49456,0.5,,,0.05,437,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,11.8107025453557 50.1837655260691)",0.5
492,66,336,6.85,3,50,3732389,1.3,88.445,88445,0.5,,,0.05,437,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(12.1147644054101 49.6311550521523,11.8107025453557 50.1837655260691)",0.5
493,332,337,27.4,6,50,3732390,5.2,63.598,63598,2,,,0.0125,451;452,3422.532396,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,12.2968837896062 48.6069099225677)",0.125
494,338,66,6.85,3,50,3732391,1.3,43.477,43477,0.5,,,0.05,457,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,12.1147644054101 49.6311550521523)",0.5
495,332,338,6.85,3,50,3732392,1.3,112.737,112737,0.5,,,0.05,465,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,12.0822544456506 49.2974477669261)",0.5
496,68,70,0.0274,3,50,3736194,0.52,47.115,47115,0.5,,Trebur Nord,0.05,,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.38855636787547 49.9823050841271)",0.5
497,68_220kV,339,0.0115,3,50,3736195,1.3,52.848,52848,1,,Urberach - Beerfelden,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.95368121281126 49.5674431691125)",0.32
498,324,290,10.275,3,50,3738981,1.95,56.706,56706,0.75,50Hertz,554 Schmöln - Hagenwerder,0.033333,554,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,14.2192282929357 51.120707992198)",0.333333
499,326,290,0.0274,3,50,3738982,0.52,36.468,36468,0.5,50Hertz,,0.05,555;556,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(13.8412680841242 50.9901759359427,14.2192282929357 51.120707992198)",0.5
500,340,282_220kV,23,6,50,3739951,2.6,27.915,27915,2,50Hertz,,0.04,205;206,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.4696440085589 51.3716629493371,12.5182220968156 51.1570725850832)",0.16
501,341,282_220kV,5.75,3,50,3739952,0.65,26.927,26927,0.5,50Hertz,,0.16,233,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(12.2488239057592 51.1978824277899,12.5182220968156 51.1570725850832)",0.64
502,341,342,0.0115,3,50,3739953,1.3,131.762,131762,1,50Hertz,,0.08,357,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.2488239057592 51.1978824277899,10.7346694298176 51.4401867580454)",0.32
503,282_220kV,342,5.75,3,50,3739954,0.65,158.686,158686,0.5,50Hertz,,0.16,358,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(12.5182220968156 51.1570725850832,10.7346694298176 51.4401867580454)",0.64
504,343,294,20.55,6,50,3739955,3.9,8.083,8083,1.5,,Altenfeld - Goldisthal,0.016667,"461,462",2566.899297,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(11.0049169149012 50.5074149690608,10.9910146333086 50.573526990181)",0.166667
505,340,282_220kV,0.0115,3,50,3742236,1.3,27.915,27915,1,50Hertz,205;206 Taucha - Eula,0.08,205;206,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.4696440085589 51.3716629493371,12.5182220968156 51.1570725850832)",0.32
506,279_220kV,344,11.5,3,50,3742237,1.3,18.307,18307,1,50Hertz,,0.08,226,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.0025898987886 50.8659127196838)",0.32
507,281_220kV,345,0.00575,6,50,3742238,0.65,32.217,32217,2,50Hertz,,0.04,231;232,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.0449825161601 50.7812567340735,12.2428369226029 50.5674531670625)",0.16
508,32_220kV,342,11.5,3,50,3742239,1.3,65.759,65759,1,50Hertz,367 Wolkramshausen - Vieselbach,0.08,367,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.7346694298176 51.4401867580454)",0.32
509,32_220kV,342,11.5,3,50,3742240,1.3,65.756,65756,1,,368 Wolkramshausen - Vieselbach,0.08,368,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.7346694298176 51.4401867580454)",0.32
510,72,32,13.7,3,50,3742241,2.6,78.038,78038,1,50Hertz,471 Lauchstädt - Vieselbach,0.025,471,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.1228545605428 50.9989090670144)",0.25
511,72,32,13.7,3,50,3742242,2.6,78.034,78034,1,50Hertz,472 Lauchstädt - Vieselbach,0.025,472,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.1228545605428 50.9989090670144)",0.25
512,346,347,20.55,6,50,3749523,3.9,4.993,4993,1.5,,,0.016667,903;904,2566.899297,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(13.249028367237 52.5316238928337,13.3155158513838 52.5219993683183)",0.166667
513,348,47,0.0137,6,50,3749524,0.26,6.55,6550,1,,,0.025,919;920,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(13.3686584616208 52.5031422115792,13.4564306927748 52.5214517451981)",0.25
514,46,47,0.0137,6,50,3749525,0.26,5.184,5184,1,,,0.025,921;922,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.4564306927748 52.5214517451981)",0.25
515,348,347,0.0137,6,50,3749526,0.26,4.169,4169,1,,Charlottenburg - Mitte,0.025,,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(13.3686584616208 52.5031422115792,13.3155158513838 52.5219993683183)",0.25
516,349,330,11.5,6,50,3749845,1.3,45.232,45232,1,,,0.08,219;220,495.366531,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(11.7924138446413 48.8382240226632,12.2208353620671 48.5857329876532)",0.32
517,349,350,11.5,6,50,3749846,1.3,73.862,73862,1,,,0.08,221,495.366531,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(11.7924138446413 48.8382240226632,11.3269526751765 49.393473117636)",0.32
518,338_220kV,350,11.5,3,50,3749847,1.3,62.842,62842,1,,,0.08,223,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,11.3269526751765 49.393473117636)",0.32
519,349,351_220kV,0.0115,3,50,3749848,1.3,24.279,24279,1,,,0.08,227;228,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.7924138446413 48.8382240226632,11.5077305510922 48.7611239877457)",0.32
520,338_220kV,336_220kV,5.75,3,50,3749849,0.65,131.429,131429,0.5,,,0.16,248,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,11.8107025453557 50.1837655260691)",0.64
521,14,352,11.5,3,50,3749850,1.3,32.772,32772,1,,,0.08,258,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8076056361242 48.4554267991033)",0.32
522,352,353_220kV,11.5,3,50,3749851,1.3,39.745,39745,1,,,0.08,262,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.8076056361242 48.4554267991033,11.5813705216127 48.7648940508515)",0.32
523,15,353,6.85,3,50,3749852,1.3,76.222,76222,0.5,,,0.05,421,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(11.8681562938884 48.2068029185353,11.5813705216127 48.7648940508515)",0.5
