name,bus0,bus1,c_nfkm,,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm
151,144,107_220kV,11.5,3,50,1082996,1.3,12.825,12825,1,Amprion,Bochum West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.17937912538938 51.4722019484347,7.1255729106725 51.4489772588145)",0.32
152,139,107_220kV,5.75,3,50,1082997,0.65,22.117,22117,0.5,Amprion,Gladbeck West,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.03761988504233 51.5985496311832,7.1255729106725 51.4489772588145)",0.64
153,140,141,11.5,3,50,1082998,1.3,12.649,12649,1,Amprion,Pöppinghausen West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.2640834625924 51.5735734103802,7.2789471130269 51.4722816773138)",0.32
154,142,107_220kV,11.5,3,50,1082999,1.3,21.357,21357,1,Amprion,Herne 2B,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.18667755311932 51.550589070577,7.1255729106725 51.4489772588145)",0.32
155,147,107_220kV,5.75,3,50,1083001,0.65,37.227,37227,0.5,Amprion,Herdecke Süd,0.16,,247.6832655,Al/St 240/40 2-bundle 220.0,220000,1,"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.1255729106725 51.4489772588145)",0.64
156,125_220kV,123_220kV,11.5,3,50,1083933,1.3,23.276,23276,1,Amprion,Stommeln Nord,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,6.70220337779745 51.0088609096753)",0.32
157,125_220kV,148,11.5,3,50,1083953,1.3,21.638,21638,1,Amprion,Eller Ost,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,6.84699931064759 51.2055917698058)",0.32
158,149,150,11.5,3,50,1083959,1.3,20.577,20577,1,Amprion,Gremberghoven West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(7.19316578267403 50.798335064694,7.0473845241055 50.9055286094924)",0.32
159,145,125_220kV,11.5,3,50,1083962,1.3,4.849,4849,1,Amprion,Kasselberg Süd,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.93488869659333 51.0335223350589,6.96568442352005 51.0693295322353)",0.32
160,129_220kV,151,11.5,3,50,1083967,1.3,19.881,19881,1,Amprion,Osterath West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.62582790177014 51.2606098249047,6.70967369516713 51.0909407427733)",0.32
161,117_220kV,152,11.5,3,50,1083975,1.3,22.08,22080,1,Amprion,Berggeist West,0.08,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(6.97257742700703 50.795693017514,7.01293742640329 50.6176584938251)",0.32
